SpeedLimit	Date	Time
33	2025-07-25 09:52:18
29	2025-07-25 09:52:19
9	2025-07-25 09:52:20
2	2025-07-25 09:52:20
09	2025-07-25 09:52:29
SpeedLimit	Date	Time
20	2025-07-25 09:53:42
9	2025-07-25 09:53:42
420	2025-07-25 09:53:43
29	2025-07-25 09:53:44
SpeedLimit	Date	Time
0	2025-07-25 09:56:35
60	2025-07-25 09:56:36
SpeedLimit	Date	Time
7	2025-07-25 09:57:29
1	2025-07-25 09:57:32
SpeedLimit	Date	Time
3	2025-07-25 09:58:08
40	2025-07-25 09:58:12
0	2025-07-25 09:58:18
1	2025-07-25 09:58:20
2	2025-07-25 09:58:20
60	2025-07-25 09:58:40
9	2025-07-25 09:58:53
30	2025-07-25 09:59:07
20	2025-07-25 09:59:44
80	2025-07-25 10:01:16
650	2025-07-25 10:01:31
SpeedLimit	Date	Time
0	2025-07-25 10:25:55
SpeedLimit	Date	Time
60	2025-07-25 10:26:26
2	2025-07-25 10:26:54
50	2025-07-25 10:27:01
6	2025-07-25 10:27:02
0	2025-07-25 10:27:02
SpeedLimit	Date	Time
0	2025-07-25 10:37:35
80	2025-07-25 10:37:35
8	2025-07-25 10:38:32
00	2025-07-25 10:38:41
100	2025-07-25 10:38:41
SpeedLimit	Date	Time
7	2025-07-25 10:42:41
0	2025-07-25 10:42:47
00	2025-07-25 10:43:02
100	2025-07-25 10:43:04
SpeedLimit	Date	Time
6	2025-07-25 16:44:29
2	2025-07-25 16:45:04
SpeedLimit	Date	Time
9	2025-07-30 16:46:38
3	2025-07-30 16:46:56
6	2025-07-30 16:47:02
5	2025-07-30 16:47:05
69	2025-07-30 16:47:06
0	2025-07-30 16:47:08
2	2025-07-30 16:47:39
1	2025-07-30 16:47:47
50	2025-07-30 16:47:51
77	2025-07-30 16:47:54
26	2025-07-30 16:47:56
60	2025-07-30 16:47:56
4	2025-07-30 16:47:56
7	2025-07-30 16:48:15
60	2025-08-01 10:31:57
50	2025-08-01 11:41:31
60	2025-08-05 14:43:44
80	2025-08-05 14:44:46
50	2025-08-05 14:45:39
60	2025-08-07 15:22:35
80	2025-08-07 15:23:33
60	2025-08-08 10:01:46
60	2025-08-08 16:54:49
60	2025-08-08 17:03:01
80	2025-08-08 17:04:53
60	2025-08-08 17:08:36
50	2025-08-12 15:56:10
60	2025-08-12 15:56:16
80	2025-08-12 15:56:40
20	2025-08-12 15:57:25
100	2025-08-12 15:58:38
80	2025-08-12 16:02:09
60	2025-08-12 16:02:20
50	2025-08-12 16:03:53
30	2025-08-12 16:03:53
20	2025-08-12 16:04:05
120	2025-08-12 16:04:06
60	2025-08-12 16:11:32
40	2025-08-12 16:12:41
30	2025-08-12 16:14:27
50	2025-08-12 16:14:35
60	2025-08-12 16:17:04
100	2025-08-12 16:17:52
100	2025-08-12 16:22:02
60	2025-08-12 16:22:27
30	2025-08-12 16:22:37
30	2025-08-12 16:43:17
80	2025-08-12 16:43:18
60	2025-08-12 16:43:37
50	2025-08-12 16:45:00
80	2025-08-13 13:39:16
60	2025-08-13 13:40:03
30	2025-08-13 13:41:20
20	2025-08-13 13:41:45
120	2025-08-13 13:42:32
30	2025-08-13 13:46:05
50	2025-08-13 13:46:19
60	2025-08-13 13:46:47
20	2025-08-13 13:47:33
30	2025-08-13 13:48:27
60	2025-08-13 13:50:10
100	2025-08-19 16:04:36
20	2025-08-19 16:04:48
120	2025-08-19 16:04:54
50	2025-08-19 16:05:10
60	2025-08-19 16:05:10
100	2025-08-20 10:30:10
120	2025-08-20 10:30:34
20	2025-08-20 10:30:35
60	2025-08-20 10:30:46
30	2025-08-20 10:33:50
100	2025-08-20 16:00:29
60	2025-08-20 16:03:08
20	2025-08-20 16:04:15
120	2025-08-20 16:04:30
60	2025-08-20 16:40:28
50	2025-08-20 16:40:31
60	2025-08-26 14:44:28
100	2025-08-26 14:46:51
60	2025-08-26 14:48:37
100	2025-08-26 14:49:03
60	2025-09-01 15:02:55
20	2025-09-01 15:03:35
120	2025-09-01 15:03:35
20	2025-09-01 15:04:17
100	2025-09-01 15:04:41
60	2025-09-01 16:21:35
20	2025-09-01 16:22:11
120	2025-09-01 16:22:12
100	2025-09-01 16:22:28
20	2025-09-02 10:57:08
40	2025-09-02 10:57:40
80	2025-09-02 10:58:12
60	2025-09-02 10:58:13
20	2025-09-12 16:52:57
120	2025-09-12 16:52:57
100	2025-09-12 16:54:55
60	2025-09-12 16:55:10
50	2025-10-12 14:21:21
